"","Organization","Website","Sector","Dimension","Component","Indicator","Resources","Latitude","Longitude"
"597","STAG Industrial Inc.","stagindustrial.com","Private","Opportunity","Personal Rights","Private property rights",218630000,42.35611,-71.05683
"598","Brightcove Inc.","brightcove.com","Private","TBD","TBD","TBD",134710000,42.35327,-71.05256
"599","Carbonite Inc.","carbonite.com","Private","TBD","TBD","TBD",136620000,42.34495,-71.0828
"600","THL Credit Inc.","thlcredit.com","Private","TBD","TBD","TBD",94200000,42.35516,-71.05587
"601","First Marblehead Corp.","www.firstmarblehead.com","Private","TBD","TBD","TBD",46170000,42.34852,-71.0823
"602","Greater Boston Chamber of Commerce","bostonchamber.com","Private","Opportunity","Personal Freedom and Choice","Employment opportunity",6600000,42.3565,-71.05337
"603","Seismic","seismic.com","Private","Foundations of Wellbeing","Access to Information and Communications","Internet users",260000,42.3661,-71.05941
"604","Wellframe","wellframe.com","Private","Foundations of Wellbeing","Access to Information and Communications","Internet users",620000,42.35066,-71.04893
"605","McCall & Almy","mccallalmy.com","Private","Opportunity","Personal Rights","Private property rights",2400000,42.35672,-71.05478
"606","CloudHealth Technologies","cloudhealthtech.com","Private","Foundations of Wellbeing","Access to Information and Communications","Internet users",7800000,42.3503,-71.04952
"607","Daley And Associates","daleyaa.com","Private","TBD","TBD","TBD",11500000,42.35221,-71.05641
"608","Kadence International","kadence.com","Private","TBD","TBD","TBD",3410000,42.3539,-71.05965
"609","Norbella","norbella.com","Private","TBD","TBD","TBD",4700000,42.33898,-71.06765
"610","Pixability","pixability.com","Private","Foundations of Wellbeing","Access to Information and Communications","Internet users",1950000,42.3658,-71.05808
"611","InsightSquared","insightsquared.com","Private","Foundations of Wellbeing","Access to Information and Communications","Internet users",22560000,42.3472,-71.0783
"612","Digital Lumens Inc.","digitallumens.com","Private","Foundations of Wellbeing","Ecosystem Sustainability","Greenhouse gas emissions",9e+06,42.35002,-71.04734
"613","Slalom","slalom.com","Private","Foundations of Wellbeing","Access to Information and Communications","Internet users",350000,42.3497,-71.07092
"614","Genuine","genuineinteractive.com","Private","Foundations of Wellbeing","Access to Information and Communications","Internet users",13310000,42.34211,-71.06581
"615","MaidPro Franchise Corp.","maidpro.com","Private","Foundations of Wellbeing","Access to Information and Communications","Internet users",680000,42.365,-71.058
"616","Kforce Inc.","kforce.com","Private","TBD","TBD","TBD",1319240000,42.35273,-71.05364
"617","TEKsystems","teksystems.com","Private","Foundations of Wellbeing","Access to Information and Communications","Internet users",3618560000,42.35617,-71.05842
"618","Buildium","buildium.com","Private","Foundations of Wellbeing","Access to Information and Communications","Internet users",1680000,42.3539,-71.05965
"619","Veson Nautical","veson.com","Private","Foundations of Wellbeing","Access to Information and Communications","Internet users",14640000,42.35044,-71.07427
"620","AppNeta","https://www.appneta.com/","Private","Foundations of Wellbeing","Access to Information and Communications","Internet users",20020000,42.34955,-71.0495
"621","Vertex Pharmaceuticals","vrtx.com","Private","Basic Human Needs","Nutrition and Basic Medical Care","Deaths from infectious diseases",1032340000,42.35343,-71.0462
"622","Ziopharm Oncology Inc.","ziopharm.com","Private","Foundations of Wellbeing","Health and Wellness","Premature deaths from non-communicable diseases",4330000,42.37525,-71.05449
"623","Boston Beer Co. Inc.","bostonbeer.com","Private","TBD","TBD","TBD",959930000,42.34427,-71.03057
"624","Verizon","verizon.com","Private","Foundations of Wellbeing","Access to Information and Communications","Mobile telephone subscriptions",1.32e+11,42.35529,-71.05308
"625","Adecco","adeccousa.com","Private","TBD","TBD","TBD",5813630000,42.35369,-71.05842
"626","Professional Staffing Group","psgstaffing.com","Private","TBD","TBD","TBD",7060000,42.35366,-71.05664
"627","Total Clerical Services Inc.","pggna.com","Private","TBD","TBD","TBD",10550000,42.35861,-71.05957
"628","John Leonard Employment Services Inc.","johnleonard.com","Private","TBD","TBD","TBD",4660000,42.355,-71.05675
"629","Hollister Staffing Inc.","hollisterstaff.com","Private","TBD","TBD","TBD",7270000,42.35866,-71.05507
"630","ACE Employment Services Inc.","aceboston.net","Private","TBD","TBD","TBD",1030000,42.35907,-71.0548
"631","Bay State Search LLC","baystatesearch.com","Private","TBD","TBD","TBD",520000,42.35648,-71.05801
"632","TPA technologies (The Professional Alternative Inc.)","tpatechnologies.com","Private","Foundations of Wellbeing","Access to Information and Communications","Internet users",18730000,42.35845,-71.05756
"633","Hire Partnership LLC","hirepartnership.com","Private","TBD","TBD","TBD",430000,42.35773,-71.05785
"634","Cambridge Associates LLC","cambridgeassociates.com","Private","TBD","TBD","TBD",344730000,42.35529,-71.05308
"635","Breckinridge Capital Advisors","breckinridge.com","Private","TBD","TBD","TBD",6630000,42.35692,-71.05198
"636","Westfield Capital Management","westfieldcapital.com","Private","TBD","TBD","TBD",20550000,42.35221,-71.05641
"637","Fiduciary Trust Co.","fiduciary-trust.com","Private","TBD","TBD","TBD",41700000,42.35329,-71.05633
"638","The Investment Fund for Foundations (TIFF)","tiff.org","Private","TBD","TBD","TBD",960000,42.36003,-71.05317
"639","Shepherd Kaplan LLC","sk-llc.com","Private","TBD","TBD","TBD",14310000,42.3531,-71.0574
"640","Boston Private Wealth LLC","bostonprivatewm.com","Private","TBD","TBD","TBD",1170000,42.35611,-71.05683
"641","Anchor Capital Advisors LLC","anchorcapital.com","Private","TBD","TBD","TBD",9840000,42.364,-71.05322
"642","Appleton Partners Inc.","appletonpartners.com","Private","TBD","TBD","TBD",16250000,42.364,-71.05322
"643","Lake Street Advisors","lakestreetadvisors.com","Private","TBD","TBD","TBD",610000,42.355,-71.05682
"644","Choate Investment Advisors LLC","choateinvestmentadvisors.com","Private","TBD","TBD","TBD",660000,42.35643,-71.05191
"645","Federal Street Advisors","federalstreet.com","Private","TBD","TBD","TBD",7620000,42.35635,-71.05645
"646","Boston Advisors LLC","bostonadvisors.com","Private","TBD","TBD","TBD",9480000,42.35772,-71.05484
"647","Hill Holliday","hhcc.com","Private","TBD","TBD","TBD",6080000,42.3585,-71.05618
"648","Allen & Gerritsen","a-g.com","Private","TBD","TBD","TBD",37190000,42.34893,-71.04084
"649","MMB","mmb580.com","Private","TBD","TBD","TBD",340000,42.34013,-71.0653
"650","Connelly Partners","connellypartners.com","Private","TBD","TBD","TBD",19330000,42.34205,-71.06946
"651","CTP (Conover Tuttle Pace)","ctpboston.com","Private","TBD","TBD","TBD",260000,42.365,-71.058
"652","KHJ Brand Activation","khj.com","Private","TBD","TBD","TBD",8460000,42.34961,-71.04272
"653","Full Contact Advertising","gofullcontact.com","Private","TBD","TBD","TBD",640000,42.3504,-71.05842
"654","Wallwork Curry McKenna","wcm-partners.com","Private","TBD","TBD","TBD",1e+07,42.37235,-71.06162
"655","Small Army","smallarmy.net","Private","TBD","TBD","TBD",4520000,42.34328,-71.08517
"656","FORGE worldwide","forgeworldwide.com","Private","TBD","TBD","TBD",5e+06,42.34871,-71.07228
"657","Winsper","winsper.com","Private","TBD","TBD","TBD",1e+06,42.35497,-71.0588
"658","AECOM","aecom.com","Private","TBD","TBD","TBD",17989880000,42.36025,-71.04882
"659","CDM  Smith","cdmsmith.com","Private","TBD","TBD","TBD",1262130000,42.35866,-71.05507
"660","HNTB Corp.","hntb.com","Private","TBD","TBD","TBD",907430000,42.35095,-71.07157
"661","WSP","wspgroup.com","Private","TBD","TBD","TBD",4563520000,42.34388,-71.02417
"662","STV Inc.","stvinc.com","Private","TBD","TBD","TBD",176090000,42.35221,-71.05641
"663","Stantec","stantec.com","Private","TBD","TBD","TBD",2165300000,42.36675,-71.05932
"664","BSC Companies Inc.","bscgroup.com","Private","TBD","TBD","TBD",21200000,42.34005,-71.03581
"665","Nitsch Engineering","nitscheng.com","Private","TBD","TBD","TBD",12210000,42.35957,-71.06019
"666","Sanborn, Head & Associates Inc.","sanbornhead.com","Private","TBD","TBD","TBD",23880000,42.3661,-71.05941
"667","BR+A Consulting Engineers LLC","brplusa.com","Private","TBD","TBD","TBD",27330000,42.3577,-71.14754
"668","Accenture","accenture.com","Private","TBD","TBD","TBD",32914420000,42.34852,-71.0823
"669","Avanade Inc.","avanade.com","Private","Foundations of Wellbeing","Access to Information and Communications","Internet users",2650000,42.34852,-71.0823
"670","Axis Technology LLC","axistechnologyllc.com","Private","Foundations of Wellbeing","Access to Information and Communications","Internet users",7240000,42.35573,-71.0562
"671","Cervello Inc.","mycervello.com","Private","TBD","TBD","TBD",15880000,42.34893,-71.04084
"672","Eze Castle Integration Inc.","eci.com","Private","TBD","TBD","TBD",68930000,42.35693,-71.05395
"673","iCorps Technologies Inc.","icorps.com","Private","TBD","TBD","TBD",12050000,42.38469,-71.07178
"674","GreenPages Technology Solutions","greenpages.com","Private","TBD","TBD","TBD",1.3e+08,42.37235,-71.06162
"675","NSK Inc","nskinc.com","Private","TBD","TBD","TBD",7918090000,42.35728,-71.0554
"676","Bank of America","bankofamerica.com","Private","TBD","TBD","TBD",9.2085e+10,42.35516,-71.05587
"677","Eastern Bank","easternbank.com","Private","TBD","TBD","TBD",389330000,42.3565,-71.05337
"678","BNY Mellon","bnymellon.com","Private","TBD","TBD","TBD",1.5431e+10,42.35855,-71.05837
"679","Citizens Bank of Massachusetts","citizensbank.com","Private","TBD","TBD","TBD",5.279e+09,42.35943,-71.05745
"680","Grand Circle Corp.","gct.com","Private","Foundations of Wellbeing","Health and Wellness","Care for aging",73200000,42.35025,-71.04885
"681","The Davis Cos.","https://www.thedaviscompanies.com/","Private","Opportunity","Personal Rights","Private property rights",19060000,42.35529,-71.05308
"682","Natixis Global Asset Management","ngam.natixis.com","Private","TBD","TBD","TBD",20908340000,42.35181,-71.07218
"683","People's United Bank","peoples.com","Private","TBD","TBD","TBD",1394800000,42.35672,-71.05478
"684","The Procter & Gamble Co./Gillette","pg.com","Private","TBD","TBD","TBD",7.6279e+10,42.34491,-71.05453
"685","AT&T Inc.","att.com","Private","Foundations of Wellbeing","Access to Information and Communications","Mobile telephone subscriptions",1.47e+11,42.35308,-71.05829
"686","Loomis, Sayles & Co.","loomissayles.com","Private","TBD","TBD","TBD",251550000,42.35221,-71.05641
"687","The Northern Trust Co.","northerntrust.com","Private","TBD","TBD","TBD",4883300000,42.35582,-71.05223
"688","Webster Bank","websterbank.com","Private","TBD","TBD","TBD",992730000,42.35561,-71.05769
"689","Houghton Mifflin Harcourt","hmhco.com","Private","Opportunity","Access to Advanced Education","Inequality in the attainment of education",1416060000,42.35067,-71.07319
"690","Korn/Ferry","kornferry.com","Private","TBD","TBD","TBD",1413510000,42.3565,-71.05337
"691","Isaacson, Miller","imsearch.com","Private","TBD","TBD","TBD",29540000,42.35019,-71.05072
"692","Management Recruiters-The Boston Group","mri-boston.com","Private","TBD","TBD","TBD",8270000,42.35043,-71.07726
"693","Lois L. Lindauer Searches LLC","lllsearches.com","Private","TBD","TBD","TBD",230000,42.35112,-71.07264
"694","RM Nephew and Associates LLC","rmnephew.com","Private","TBD","TBD","TBD",1250000,42.3461,-71.08145
"695","BSG  Team Ventures","bsgtv.com","Private","TBD","TBD","TBD",410000,42.35122,-71.07565
"696","Work Inc.","workinc.org","Private","TBD","TBD","TBD",50000,42.35135,-71.06179
"697","Mercer","mercer.com","Private","TBD","TBD","TBD",1033200000,42.35418,-71.0547
"698","Towers Watson","towerswatson.com","Private","TBD","TBD","TBD",3.809e+09,42.34852,-71.0823
"699","Aon","aon.com/newengland","Private","TBD","TBD","TBD",1.1652e+10,42.35611,-71.05683
"700","Arthur J. Gallagher & Co.","ajg.com","Private","TBD","TBD","TBD",5361400000,42.35415,-71.05141
"701","The Segal Group","segalgroup.net","Private","TBD","TBD","TBD",138740000,42.34656,-71.07977
"702","CBIZ Tofias  / CBIZ Clearview","cbiztofias.com","Private","TBD","TBD","TBD",750420000,42.35044,-71.07427
"703","Boston Benefit Partners LLC","bosben.com","Private","TBD","TBD","TBD",990000,42.35839,-71.05251
"704","Veolia North America","veolianorthamerica.com","Private","Foundations of Wellbeing","Ecosystem Sustainability","Greenhouse gas emissions",483506000,42.3585,-71.05618
"705","SunEdison","sunedison.com","Private","Foundations of Wellbeing","Ecosystem Sustainability","Greenhouse gas emissions",2484400000,42.35053,-71.0591
"706","Oasys Water","oasyswater.com","Private","Foundations of Wellbeing","Ecosystem Sustainability","Water withdrawals as a percent of resources",15970000,42.34422,-71.03108
"707","Nexamp Inc.","www.nexamp.com","Private","Foundations of Wellbeing","Ecosystem Sustainability","Greenhouse gas emissions",5600000,42.35799,-71.05454
"708","Essess Inc.","essess.com","Private","Foundations of Wellbeing","Ecosystem Sustainability","Greenhouse gas emissions",120000,42.3492,-71.0501
"709","FastCAP Systems Corp.","fastcapsystems.com","Private","TBD","TBD","TBD",2110000,42.34422,-71.03108
"710","BlueWave Capital","bluewave-capital.com","Private","Foundations of Wellbeing","Ecosystem Sustainability","Greenhouse gas emissions",4430000,42.3513,-71.07711
"711","Merck Research Laboratories","merck.com","Private","Foundations of Wellbeing","Health and Wellness","Life expectancy",3.8773e+10,42.33974,-71.1033
"712","Sterlingwear of Boston Inc.","sterlingwear.com","Private","Basic Human Needs","Shelter","Clothing",65030000,42.38606,-71.01791
"713","Eagle Elevator Co. Inc.","http://www.eagleelevator.net/","Private","TBD","TBD","TBD",9180000,42.32478,-71.06868
"714","Wells Fargo Bank","wellsfargo.com","Private","TBD","TBD","TBD",9.074e+10,42.35856,-71.05839
"715","Radius Bank","radiusbank.com","Private","TBD","TBD","TBD",27810000,42.34551,-71.03551
"716","Target","target.com","Private","TBD","TBD","TBD",7.3785e+10,42.32931,-71.06305
"717","The Home Depot","homedepot.com","Private","TBD","TBD","TBD",8.8519e+10,42.32799,-71.06349
"718","Macy's","macysinc.com","Private","Basic Human Needs","Shelter","Clothing",2.7079e+10,42.34885,-71.15826
"719","CVS pharmacy","cvs.com","Private","TBD","TBD","TBD",1.53e+11,42.35667,-71.05657
"720","Walgreens","walgreens.com","Private","TBD","TBD","TBD",1.03e+11,42.35744,-71.05931
"721","Rite Aid","riteaid.com","Private","TBD","TBD","TBD",30736660000,42.36047,-71.06209
"722","Whole Foods Market","wholefoodsmarket.com","Private","Basic Human Needs","Nutrition and Basic Medical Care","Undernourishment",1.5389e+10,42.36205,-71.06536
"723","Planet Fitness","planetfitness.com","Private","Foundations of Wellbeing","Health and Wellness","Obesity rate",330540000,42.38606,-71.01791
"724","Best Buy","bestbuy.com","Private","Foundations of Wellbeing","Access to Information and Communications","Internet users",3.9528e+10,42.32714,-71.06134
"725","Patrick J. Kennedy & Sons Inc.","pjkennedy.com","Private","Basic Human Needs","Water and Sanitation","Access to improved sanitation facilities",120000,42.29714,-71.05902
