Organization,Website,Facebook,LinkedIn,Twitter,Pinterest,Organization Description,Programs or Key Initiatives,Program description,Possible Data Set,Open or Closed Data Set,Sector,Sector',Sector Level,Name,Headquarters Street Address,Headquarters City,Headquarters State,Headquarters Zip Code,Headquarters County,Headquarters Country,Region Served,Revenue,Revenue,Budget,NAICS Code,NAICS Definition,NTEE Code,NTEE Definition,Tax ID,Primary Dimension,Primary Componenet,Primary Indicator,SPI Dimension 2,SPI Component 2,SPI Indicator 2,SPI Dimension 3,SPI Component 3,SPI Indicator 3,SPI Dimension 4,SPI Component 4,SPI Indicator 4,SPI Dimension 5,SPI Component 5,SPI Indicator 5,SPI Dimension 6,SPI Component 6,SPI Indicator 6,Notes and Opportunities,Budget/Revenue,Latitude,Longitude
PARTNERS HEALTHCARE SYSTEM INC,http://www.partners.org/,https://www.facebook.com/partnershealthcare,https://www.linkedin.com/company/partners-healthcare?trk=top_nav_home,https://twitter.com/PartnersNews,,"Partners HealthCare is a not-for-profit health care system that is committed to patient care, research, teaching, and service to the community locally and globally. ",Core,"Partners HealthCare is a not-for-profit health care system that is committed to patient care, research, teaching, and service to the community locally and globally. ","Health care data, patient data, teachng data, community data",Closed,Social,Social,,,55 FRUIT ST,Boston,Massachusetts,02114-2621,Suffolk,USA,Greater Boston,11091388129,,,,#NAME?,E21,Community Health Systems,900656139,Foundations of Wellbeing,Health and Wellness,Life expectancy,Basic Human Needs,Nutrition and Basic Medical Care,Deaths from infectious diseases,Foundations of Wellbeing,Health and Wellness,Premature deaths from non-communicable diseases,Basic Human Needs,Nutrition and Basic Medical Care,Child mortality rate,Basic Human Needs,Nutrition and Basic Medical Care,Maternal mortality rate,Foundations of Wellbeing,Health and Wellness,Access to mental health resources,,11091388129,42.36315,-71.06883
PARTNERS HEALTHCARE SYSTEM INC,http://www.partners.org/,https://www.facebook.com/partnershealthcare,https://www.linkedin.com/company/partners-healthcare?trk=top_nav_home,https://twitter.com/PartnersNews,,"Partners HealthCare is a not-for-profit health care system that is committed to patient care, research, teaching, and service to the community locally and globally. ",Community Based Programs,"PartnersÍ commitment to the community can be seen through its relationship with many community health centers, as well as with Partners Community Healthcare, Inc., the group for Partners-affiliated physicians and care providers.","Community data, health care data",Open,Social,Social,,,55 FRUIT ST,Boston,Massachusetts,02114-2621,Suffolk,USA,Massachusetts,,,,,,E21,Community Health Systems,900656139,Foundations of Wellbeing,Health and Wellness,Life expectancy,Basic Human Needs,Nutrition and Basic Medical Care,Deaths from infectious diseases,Foundations of Wellbeing,Health and Wellness,Premature deaths from non-communicable diseases,Basic Human Needs,Nutrition and Basic Medical Care,Child mortality rate,Basic Human Needs,Nutrition and Basic Medical Care,Maternal mortality rate,Foundations of Wellbeing,Health and Wellness,Access to mental health resources,,,42.36315,-71.06883
PARTNERS HEALTHCARE SYSTEM INC,http://www.partners.org/,https://www.facebook.com/partnershealthcare,https://www.linkedin.com/company/partners-healthcare?trk=top_nav_home,https://twitter.com/PartnersNews,,"Partners HealthCare is a not-for-profit health care system that is committed to patient care, research, teaching, and service to the community locally and globally. ",Partners Programs,Our pioneering clinical programs include Partners HealthCare Center for Personalized Genetic Medicine and Partners Asthma Center.,Health care data ,Open,Social,Social,,,55 FRUIT ST,Boston,Massachusetts,02114-2621,Suffolk,USA,Massachusetts,,,,,,E21,Community Health Systems,900656139,Foundations of Wellbeing,Health and Wellness,Life expectancy,Basic Human Needs,Nutrition and Basic Medical Care,Deaths from infectious diseases,Foundations of Wellbeing,Health and Wellness,Premature deaths from non-communicable diseases,Basic Human Needs,Nutrition and Basic Medical Care,Child mortality rate,Basic Human Needs,Nutrition and Basic Medical Care,Maternal mortality rate,Foundations of Wellbeing,Health and Wellness,Access to mental health resources,,,42.36315,-71.06883
PARTNERS HEALTHCARE SYSTEM INC,http://www.partners.org/,https://www.facebook.com/partnershealthcare,https://www.linkedin.com/company/partners-healthcare?trk=top_nav_home,https://twitter.com/PartnersNews,,"Partners HealthCare is a not-for-profit health care system that is committed to patient care, research, teaching, and service to the community locally and globally. ",Research Programs,Programs in health care research enable our hospitals to bring new medical advances to the bedside and to medical professionals and patients worldwide.,"Research data, health data, technology data, bio data",Open,Social,Social,,,55 FRUIT ST,Boston,Massachusetts,02114-2621,Suffolk,USA,Massachusetts,,,,,,E21,Community Health Systems,900656139,Foundations of Wellbeing,Health and Wellness,Life expectancy,Basic Human Needs,Nutrition and Basic Medical Care,Deaths from infectious diseases,Foundations of Wellbeing,Health and Wellness,Premature deaths from non-communicable diseases,Basic Human Needs,Nutrition and Basic Medical Care,Child mortality rate,Basic Human Needs,Nutrition and Basic Medical Care,Maternal mortality rate,Foundations of Wellbeing,Health and Wellness,Access to mental health resources,,,42.36315,-71.06883
PARTNERS HEALTHCARE SYSTEM INC,http://www.partners.org/,https://www.facebook.com/partnershealthcare,https://www.linkedin.com/company/partners-healthcare?trk=top_nav_home,https://twitter.com/PartnersNews,,"Partners HealthCare is a not-for-profit health care system that is committed to patient care, research, teaching, and service to the community locally and globally. ",Community Health Forums,"Partners HealthCare, in collaboration with Words Can Work ¬, is hosting a series of educational health forums. The goal is to foster discussion and debate about how to address some of the most pressing health issues in our local communities today.","Education data, health care data, community data",Open,Social,Social,,,55 FRUIT ST,Boston,Massachusetts,02114-2621,Suffolk,USA,Massachusetts,,,,,,E21,Community Health Systems,900656139,TBD,TBD,TBD,Opportunity,Tolerance and Inclusion,Community safety net,,,,,,,,,,,,,,,42.36315,-71.06883
AlliedBarton Security Services,alliedbarton.com/boston,http://www.facebook.com/AlliedBartonSecurityServices,https://www.linkedin.com/company/alliedbarton-security-services,http://twitter.com/#!/alliedbarton,https://www.pinterest.com/alliedbarton/,"We combine the right people, specialized training and the latest technology to provide exceptional security services with local response and national support for peace ofæmind.",Core,"We combine the right people, specialized training and the latest technology to provide exceptional security services with local response and national support for peace ofæmind.",,,Private,Private,,,101 Huntington Ave.,Boston,Massachusetts,2199,Suffolk,USA,United States,,1306000000,,561612,#NAME?,,,,Opportunity,Personal Rights,Private property rights,,,,,,,,,,,,,,,,,1306000000,42.34688,-71.08112
Securitas Security Services USA Inc.,securitasinc.com,,https://www.linkedin.com/company/securitas-security-services-usa-inc,,,"Securitas is the leading international company specialized in protective services based on people, technology and knowledge.",Core,"Securitas is the leading international company specialized in protective services based on people, technology and knowledge.",,,Private,Private,,,1 Harbor St.,Boston,Massachusetts,2210,Suffolk,USA,United States,,4707000000,,561612,#NAME?,,,,Opportunity,Personal Rights,Private property rights,,,,,,,,,,,,,,,,,4707000000,42.34551,-71.03551
SecurAmerica LLC,securamericallc.com,,,,,"We provide innovative contract security service solutions across the US, which provide uncompromising value, cost effectiveness and results to our clients.",Core,"We provide innovative contract security service solutions across the US, which provide uncompromising value, cost effectiveness and results to our clients.",,,Private,Private,,,31 Milk St.,Boston,Massachusetts,2109,Suffolk,USA,United States,,74000000,,561612,#NAME?,,,,Opportunity,Personal Rights,Private property rights,,,,,,,,,,,,,,,,,74000000,42.35648,-71.05801
Elite Protective Services,eliteprotective.com,https://www.facebook.com/pages/Elite-Protective-Services/278402618904760,,,,"Founded in 1982, Elite Protective Services serves local banks, property managers, corporate and small businesses, as well as numerous residential accounts, with over 400 clients in the Boston area.",Core,"Founded in 1982, Elite Protective Services serves local banks, property managers, corporate and small businesses, as well as numerous residential accounts, with over 400 clients in the Boston area.",,,Private,Private,,,67 Kemble St.,Boston,Massachusetts,2119,Suffolk,USA,Greater Boston,,1500000,,561612,#NAME?,,,,Opportunity,Personal Rights,Private property rights,,,,,,,,,,,,,,,,,1500000,42.32816,-71.07246
Gourmet Caterers Inc.,gourmetcaterers.com,http://www.facebook.com/pages/Gourmet-Caterers/125708767465694,,https://twitter.com/gciboston,http://pinterest.com/gciboston/,"Exclusive caterer to the Artists For Humanity EpiCenter, John F. Kennedy Presidential Library & Museum, the John Joseph Moakley United States Courthouse, Boston Symphony Hall & Tanglewood, Gourmet is renowned for its talented chefs, impeccable service, and for creating unforgettable events with a singular level of expertise.",Core,"Exclusive caterer to the Artists For Humanity EpiCenter, John F. Kennedy Presidential Library & Museum, the John Joseph Moakley United States Courthouse, Boston Symphony Hall & Tanglewood, Gourmet is renowned for its talented chefs, impeccable service, and for creating unforgettable events with a singular level of expertise.",,,Private,Private,,,3867 Washington St.,Boston,Massachusetts,2131,Suffolk,USA,Greater Boston,,7820000,,722320,#NAME?,,,,Foundations of Wellbeing,Health and Wellness,Obesity rate,,,,,,,,,,,,,,,,,7820000,42.29621,-71.11820
Milk Street Cafe,milkstreetcafe.com,http://www.facebook.com/MilkStreetCafe,,http://twitter.com/MilkStreetCafe,,Milk Street Cafe is an upscale casual restaurant and one of the premier corporate caterers in Boston.æ,Core,Milk Street Cafe is an upscale casual restaurant and one of the premier corporate caterers in Boston.æ,,,Private,Private,,,50 Milk St.,Boston,Massachusetts,2109,Suffolk,USA,Greater Boston,,2850000,,722320,#NAME?,,,,Foundations of Wellbeing,Health and Wellness,Obesity rate,,,,,,,,,,,,,,,,,2850000,42.35700,-71.05762
BG Events and Catering,bgeventsandcatering.com,https://www.facebook.com/BGEventsandCatering,,https://twitter.com/bgeventsboston,http://pinterest.com/BGCatering/,"We are BG Events and Catering, a company dedicated to the art and science of cuisine, flawless planning, fabulous d_cor and unequaled value.",Core,"We are BG Events and Catering, a company dedicated to the art and science of cuisine, flawless planning, fabulous d_cor and unequaled value.",,,Private,Private,,,31 Antwerp St.,Boston,Massachusetts,2135,Suffolk,USA,Greater Boston,,,,722320,#NAME?,,,,Foundations of Wellbeing,Health and Wellness,Obesity rate,,,,,,,,,,,,,,,,,,42.35898,-71.14023
Au Bon Pain,aubonpain.com,http://www.facebook.com/aubonpain,,http://www.twitter.com/aubonpain,,"At Au Bon Pain caf_ bakery, food is our passion -- meaningful, flavorful, high quality, healthful food. Each signature recipe is uniquely crafted, and there is always something new to try.",Core,"At Au Bon Pain caf_ bakery, food is our passion -- meaningful, flavorful, high quality, healthful food. Each signature recipe is uniquely crafted, and there is always something new to try.",,,Private,Private,,,1 Au Bon Pain Way,Boston,Massachusetts,2110,Suffolk,USA,United States,,296270000,,311811,#NAME?,,,,Foundations of Wellbeing,Health and Wellness,Obesity rate,,,,,,,,,,,,,,,,,296270000,42.34661,-71.02837
Above and Beyond Catering Inc.,aboveabc.com/,https://www.facebook.com/aboveabc,,https://twitter.com/aboveabc,https://www.pinterest.com/aboveabc/,"No matter what the size of your catered event, we pride ourselves on our ability to successfully attend to every last detail. We understand that providing exceptional client service is tantamount to your satisfaction and to our continued growth.",Core,"No matter what the size of your catered event, we pride ourselves on our ability to successfully attend to every last detail. We understand that providing exceptional client service is tantamount to your satisfaction and to our continued growth.",,,Private,Private,,,42 Plympton St.,Boston,Massachusetts,2118,Suffolk,USA,Greater Boston,,2000000,,722320,#NAME?,,,,Foundations of Wellbeing,Health and Wellness,Obesity rate,,,,,,,,,,,,,,,,,2000000,42.33890,-71.06786
Sheraton Boston Hotel,sheratonbostonhotel.com,http://www.facebook.com/SheratonBostonHotel,,http://twitter.com/SheratonBoston,,"Located just four miles from Boston Logan International Airport, Sheraton Boston Hotel puts you in the heart of the city. Enjoy indoor access to shopping and restaurants at The Shops at Prudential Center and Copley Place or one of our Boston Back Bay restaurants. Stroll just a few blocks to Copley Square, the Charles River, the Museum of Fine Arts or Fenway Park.",Core,"Located just four miles from Boston Logan International Airport, Sheraton Boston Hotel puts you in the heart of the city. Enjoy indoor access to shopping and restaurants at The Shops at Prudential Center and Copley Place or one of our Boston Back Bay restaurants. Stroll just a few blocks to Copley Square, the Charles River, the Museum of Fine Arts or Fenway Park.",,,Private,Private,,,39 Dalton St.,Boston,Massachusetts,2199,Suffolk,USA,Boston,,,,721110,#NAME?,,,,Opportunity,Personal Rights,Freedom of assembly/association,,,,,,,,,,,,,,,,,,42.34638,-71.08402
Boston Marriott Copley Place,copleymarriott.com,,,,,"Experience downtown Boston like never before at our stylish, perfectly located hotel. Whether you're in Massachusetts for business or for fun, the Boston Marriott Copley Place has everything you need for a wonderful visit. Walk from our hotel to famous attractions including Boston Common and the Shops at Prudential Center, as well as beautiful Copley Square.",Core,"Experience downtown Boston like never before at our stylish, perfectly located hotel. Whether you're in Massachusetts for business or for fun, the Boston Marriott Copley Place has everything you need for a wonderful visit. Walk from our hotel to famous attractions including Boston Common and the Shops at Prudential Center, as well as beautiful Copley Square.",,,Private,Private,,,110 Huntington Ave.,Boston,Massachusetts,2116,Suffolk,USA,Boston,,,,721110,#NAME?,,,,Opportunity,Personal Rights,Freedom of assembly/association,,,,,,,,,,,,,,,,,,42.34702,-71.07929
Boston Park Plaza,bostonparkplaza.com,https://www.facebook.com/BostonParkPlazaHotel/,,https://twitter.com/BostonParkPlaza,https://www.pinterest.com/bostonparkplaza/,The historic charm and contemporary elegance of the iconic Boston Park Plaza awaits. The cherished Boston landmark has been fully restored and reimagined through a $100 million renovation.,Core,The historic charm and contemporary elegance of the iconic Boston Park Plaza awaits. The cherished Boston landmark has been fully restored and reimagined through a $100 million renovation.,,,Private,Private,,,50 Park Plaza at Arlington St.,Boston,Massachusetts,2116,Suffolk,USA,Boston,,22270000,,721110,#NAME?,,,,Opportunity,Personal Rights,Freedom of assembly/association,,,,,,,,,,,,,,,,,22270000,42.35104,-71.06970
Westin Copley Place,westincopleyplaceboston.com,http://www.facebook.com/WestinCopleyPlace?ref=search&sid=565650198.849323436..1,,http://twitter.com/westincopleypl,http://www.pinterest.com/westincopleypl/,"Our hotel, ideally located in the Back Bay, puts you minutes from shopping, entertainment, restaurants, and plenty of things to do in Boston.",Core,"Our hotel, ideally located in the Back Bay, puts you minutes from shopping, entertainment, restaurants, and plenty of things to do in Boston.",,,Private,Private,,,10 Huntington Ave.,Boston,Massachusetts,2116,Suffolk,USA,Boston,,,,721110,#NAME?,,,,Opportunity,Personal Rights,Freedom of assembly/association,,,,,,,,,,,,,,,,,,42.34846,-71.07746
Westin Boston Waterfront,westinbostonwaterfront.com,http://www.facebook.com/WestinBostonWaterfront?ref=ts,,http://twitter.com/WestinWatrfront,,"Our AAA Four Diamond award-winning hotel is located in the heart of the emerging Boston Seaport district. The Westin Boston Waterfront is less than three miles from Logan International Airport, as well as a short cab, bus, water taxi, or T train ride away from Back Bay, the Financial District, and plenty of things to do in Boston.",Core,"Our AAA Four Diamond award-winning hotel is located in the heart of the emerging Boston Seaport district. The Westin Boston Waterfront is less than three miles from Logan International Airport, as well as a short cab, bus, water taxi, or T train ride away from Back Bay, the Financial District, and plenty of things to do in Boston.",,,Private,Private,,,425 Summer St.,Boston,Massachusetts,2210,Suffolk,USA,Boston,,,,721110,#NAME?,,,,Opportunity,Personal Rights,Freedom of assembly/association,,,,,,,,,,,,,,,,,,42.34573,-71.04352
Hilton Boston Logan Airport,BostonLogan.Hilton.com,https://www.facebook.com/HiltonLogan,,,,The only hotel on airport property with climate controlled walkways to the airport terminals; Hilton Boston Logan Airport is close to downtown Boston and just 10 minutes from the Boston Convention and Exhibition Center and Seaport World Trade Center.æ,Core,The only hotel on airport property with climate controlled walkways to the airport terminals; Hilton Boston Logan Airport is close to downtown Boston and just 10 minutes from the Boston Convention and Exhibition Center and Seaport World Trade Center.æ,,,Private,Private,,,1 Hotel Drive,Boston,Massachusetts,2128,Suffolk,USA,Boston,,4620000,,721110,#NAME?,,,,Opportunity,Personal Rights,Freedom of assembly/association,,,,,,,,,,,,,,,,,4620000,42.36740,-71.02310
Omni Parker House,omnihotels.com/boston,https://www.facebook.com/omnihotels,,https://twitter.com/OmniHotels,https://pinterest.com/OmniHotels,"This grand luxury hotel has been symbolic to BostonÍs rich history and culture since 1855. Old-World charm and elegance are accompanied by all of the modern conveniences of a world-class establishment. Nestled in the heart of downtown Boston, Omni Parker House is located along the Freedom Trail and at the foot of Beacon Hill, Boston Common, Quincy Market and Faneuil Hall marketplace.",Core,"This grand luxury hotel has been symbolic to BostonÍs rich history and culture since 1855. Old-World charm and elegance are accompanied by all of the modern conveniences of a world-class establishment. Nestled in the heart of downtown Boston, Omni Parker House is located along the Freedom Trail and at the foot of Beacon Hill, Boston Common, Quincy Market and Faneuil Hall marketplace.",,,Private,Private,,,60 School St.,Boston,Massachusetts,2108,Suffolk,USA,Boston,,,,721110,#NAME?,,,,Opportunity,Personal Rights,Freedom of assembly/association,,,,,,,,,,,,,,,,,,42.35759,-71.06020
Hyatt Regency Boston,regencyboston.hyatt.com,http://www.facebook.com/Hyattregencyboston,,http://www.twitter.com/HRBoston,http://pinterest.com/hrboston/,"Our hotel is the ideal destination for Bostonæbusinessæand leisure travelers alike, offering a wide array of amenities available to enhance your overall experience on the road. Hyatt Regency Boston is also steps from BostonÍs most desirable area-attractions such as the Boston Common, Faneuil Hall, and Newbury Street.",Core,"Our hotel is the ideal destination for Bostonæbusinessæand leisure travelers alike, offering a wide array of amenities available to enhance your overall experience on the road. Hyatt Regency Boston is also steps from BostonÍs most desirable area-attractions such as the Boston Common, Faneuil Hall, and Newbury Street.",,,Private,Private,,,1 Avenue de Lafayette,Boston,Massachusetts,2111,Suffolk,USA,Boston,,,,721110,#NAME?,,,,Opportunity,Personal Rights,Freedom of assembly/association,,,,,,,,,,,,,,,,,,42.35381,-71.06060
Renaissance Boston Waterfront Hotel,renaissanceboston.com,,,,,"Experience the charm of Boston's storied Seaport District at the acclaimed Renaissance Boston Waterfront Hotel. Our luxury hotel offers guests upscale, modern accommodations with breathtaking views of the Boston Harbor and the city.",Core,"Experience the charm of Boston's storied Seaport District at the acclaimed Renaissance Boston Waterfront Hotel. Our luxury hotel offers guests upscale, modern accommodations with breathtaking views of the Boston Harbor and the city.",,,Private,Private,,,606 Congress St.,Boston,Massachusetts,2210,Suffolk,USA,Boston,,,,721110,#NAME?,,,,Opportunity,Personal Rights,Freedom of assembly/association,,,,,,,,,,,,,,,,,,42.34808,-71.03924
Seaport Hotel & World Trade Center,seaportboston.com,https://www.facebook.com/seaporthotelboston,,https://twitter.com/seaportboston,https://www.pinterest.com/seaporthotel/,"Located in the bustling Seaport District, one of Boston's most popular neighborhoods, the award-winning Seaport Hotel is an oasis in the heart of the city. Overlooking Boston Harbor and featuring dazzling city and water views, Seaport is the ideal location for business or pleasure with easy access to Logan Airport, the financial district and all major Boston attractions.",Core,"Located in the bustling Seaport District, one of Boston's most popular neighborhoods, the award-winning Seaport Hotel is an oasis in the heart of the city. Overlooking Boston Harbor and featuring dazzling city and water views, Seaport is the ideal location for business or pleasure with easy access to Logan Airport, the financial district and all major Boston attractions.",,,Private,Private,,,1 Seaport Lane,Boston,Massachusetts,2210,Suffolk,USA,Boston,,,,721110,#NAME?,,,,Opportunity,Personal Rights,Freedom of assembly/association,,,,,,,,,,,,,,,,,,42.34922,-71.04143
InterContinental Boston,intercontinentalboston.com,https://www.facebook.com/icboston,,https://twitter.com/InterConBOS,http://www.pinterest.com/interconbos/,"Located in the heart of Boston - surrounded by the Fort Point Channel and Rose Kennedy Greenway - our hotel is just steps from exciting Boston attractions, including Faneuil Hall/Quincy Market, Boston Convention & Exhibition Center, North End, Chinatown and a plethora of historical attractions such as the Boston Tea Party Museum and Freedom Trail.",Core,"Located in the heart of Boston - surrounded by the Fort Point Channel and Rose Kennedy Greenway - our hotel is just steps from exciting Boston attractions, including Faneuil Hall/Quincy Market, Boston Convention & Exhibition Center, North End, Chinatown and a plethora of historical attractions such as the Boston Tea Party Museum and Freedom Trail.",,,Private,Private,,,510 Atlantic Avenue,Boston,Massachusetts,2210,Suffolk,USA,Boston,,11500000,,721110,#NAME?,,,,Opportunity,Personal Rights,Freedom of assembly/association,,,,,,,,,,,,,,,,,11500000,42.35390,-71.05206
Boston Marriott Long Wharf,marriottlongwharf.com,,,,,"The Boston Marriott Long Wharf welcomes you with sophisticated design and intuitive service, paving the way for a truly memorable hotel experience. Business travelers and vacationing families will love our convenient location along Boston's historic Long Wharf pier, just steps from the New England Aquarium, Faneuil Hall Marketplace, and a host of other exciting attractions.",Core,"The Boston Marriott Long Wharf welcomes you with sophisticated design and intuitive service, paving the way for a truly memorable hotel experience. Business travelers and vacationing families will love our convenient location along Boston's historic Long Wharf pier, just steps from the New England Aquarium, Faneuil Hall Marketplace, and a host of other exciting attractions.",,,Private,Private,,,296 State St.,Boston,Massachusetts,2109,Suffolk,USA,Boston,,,,721110,#NAME?,,,,Opportunity,Personal Rights,Freedom of assembly/association,,,,,,,,,,,,,,,,,,42.36018,-71.05079
Hilton Boston Downtown/Faneuil Hall,hiltonbostondowntown.com,https://www.facebook.com/HiltonBostonDowntown,,https://twitter.com/HiltonBostonDT,http://www.pinterest.com/hiltonbostondt/,"Refined and regenerated, the Hilton Boston Downtown has recently completed a guestroom renovation offering new accommodations within a classic hotel.æ Built in 1928 as Boston's first Art Deco skyscraper, this AAA Four Diamond hotel is perfectly situated in the heart of downtown Boston's Financial and Historic Districts putting you in the center of Boston's economic and social hub.",Core,"Refined and regenerated, the Hilton Boston Downtown has recently completed a guestroom renovation offering new accommodations within a classic hotel.æ Built in 1928 as Boston's first Art Deco skyscraper, this AAA Four Diamond hotel is perfectly situated in the heart of downtown Boston's Financial and Historic Districts putting you in the center of Boston's economic and social hub.",,,Private,Private,,,89 Broad St.,Boston,Massachusetts,2110,Suffolk,USA,Boston,,,,721110,#NAME?,,,,Opportunity,Personal Rights,Freedom of assembly/association,,,,,,,,,,,,,,,,,,42.35733,-71.05323
Hilton Boston Back Bay,bostonbackbay.hilton.com,https://www.facebook.com/HiltonBostonBackBay/?fref=ts,,https://twitter.com/HiltonBoston,,"With a unique glass building that offers stunning panoramic views of the Boston skyline, Hilton Back Bay hotel is the perfect setting for world-class shopping, dining, business meetings and events. Our hotel offers 15 meeting rooms with over 15,000 sq. ft. of meeting and event space and is across the street from Hynes Convention Center.",Core,"With a unique glass building that offers stunning panoramic views of the Boston skyline, Hilton Back Bay hotel is the perfect setting for world-class shopping, dining, business meetings and events. Our hotel offers 15 meeting rooms with over 15,000 sq. ft. of meeting and event space and is across the street from Hynes Convention Center.",,,Private,Private,,,40 Dalton St.,Boston,Massachusetts,2115,Suffolk,USA,Boston,,,,721110,#NAME?,,,,Opportunity,Personal Rights,Freedom of assembly/association,,,,,,,,,,,,,,,,,,42.34650,-71.08549
Fairmont Copley Plaza Hotel,fairmont.com/copley-plaza-boston,https://www.facebook.com/FairmontCopleyPlaza,,http://twitter.com/fairmontcopley,,"Centrally located in Boston's historic Back Bay, Fairmont Copley Plaza sits steps away from the Boston Public Library, historic Beacon Hill, and the Freedom Trail. Our historic landmark Back Bay hotel is located only a few blocks from the Hynes Convention Center, Copley Place Mall and the boutiques of Newbury Street.",Core,"Centrally located in Boston's historic Back Bay, Fairmont Copley Plaza sits steps away from the Boston Public Library, historic Beacon Hill, and the Freedom Trail. Our historic landmark Back Bay hotel is located only a few blocks from the Hynes Convention Center, Copley Place Mall and the boutiques of Newbury Street.",,,Private,Private,,,138 St. James Ave.,Boston,Massachusetts,2116,Suffolk,USA,Boston,,,,721110,#NAME?,,,,Opportunity,Personal Rights,Freedom of assembly/association,,,,,,,,,,,,,,,,,,42.34905,-71.07618
Revere Hotel Boston Common,reverehotel.com,https://www.facebook.com/RevereBostonCommon,,https://twitter.com/revereboston,https://www.pinterest.com/reverehotel/,"Inspired by the city and encouraging the spontaneous, our unique Boston Common hotel offers all the warmth of home in an eclectic setting. From high-octane to easy-going, the experiences at Revere Hotel are nothing less than intoxicating. Explore Boston at your own pace and discover something new on every street.",Core,"Inspired by the city and encouraging the spontaneous, our unique Boston Common hotel offers all the warmth of home in an eclectic setting. From high-octane to easy-going, the experiences at Revere Hotel are nothing less than intoxicating. Explore Boston at your own pace and discover something new on every street.",,,Private,Private,,,200 Stuart St.,Boston,Massachusetts,2116,Suffolk,USA,Boston,,,,721110,#NAME?,,,,Opportunity,Personal Rights,Freedom of assembly/association,,,,,,,,,,,,,,,,,,42.35041,-71.06747
"The Langham, Boston",langhamhotels.com/boston,http://www.facebook.com/TheLanghamBoston,,http://twitter.com/langhamboston,,Steps to BostonÍs most popular attractions and views of the bustling city skyline. Legendary hospitality refined since 1865. 318 singularly unique guest rooms and suites all housed in the former Federal Reserve Bank of Boston.,Core,Steps to BostonÍs most popular attractions and views of the bustling city skyline. Legendary hospitality refined since 1865. 318 singularly unique guest rooms and suites all housed in the former Federal Reserve Bank of Boston.,,,Private,Private,,,250 Franklin St.,Boston,Massachusetts,2110,Suffolk,USA,Boston,,,,721110,#NAME?,,,,Opportunity,Personal Rights,Freedom of assembly/association,,,,,,,,,,,,,,,,,,42.35643,-71.05479
Courtyard Boston Downtown Hotel,marriott.com/hotels/travel/bosdm-courtyard-boston-downtown,,,,,"Make Courtyard Boston Downtown the home base of your next visit. Centrally located in the heart of the Theater District, our landmark location in downtown Boston has provided comfort and convenience since 1925. We are steps from Wang Center for Performing Arts, Boston Opera House, Shubert Theatre and Charles Playhouse.",Core,"Make Courtyard Boston Downtown the home base of your next visit. Centrally located in the heart of the Theater District, our landmark location in downtown Boston has provided comfort and convenience since 1925. We are steps from Wang Center for Performing Arts, Boston Opera House, Shubert Theatre and Charles Playhouse.",,,Private,Private,,,275 Tremont St.,Boston,Massachusetts,2116,Suffolk,USA,Boston,,,,721110,#NAME?,,,,Opportunity,Personal Rights,Freedom of assembly/association,,,,,,,,,,,,,,,,,,42.34992,-71.06557
Wyndham Boston Beacon Hill,wyndhambeaconhill.com,https://www.facebook.com/wyndhambostonbeaconhill/,,,,"Wyndham Boston Beacon Hill combines fresh, contemporary spaces with historic New England charm. Located in downtown Boston, Massachusetts, our urban high-rise hotel is an inviting destination for business and vacation travel, weekend escapes and special events.",Core,"Wyndham Boston Beacon Hill combines fresh, contemporary spaces with historic New England charm. Located in downtown Boston, Massachusetts, our urban high-rise hotel is an inviting destination for business and vacation travel, weekend escapes and special events.",,,Private,Private,,,5 Blossom St.,Boston,Massachusetts,2114,Suffolk,USA,Boston,,,,721110,#NAME?,,,,Opportunity,Personal Rights,Freedom of assembly/association,,,,,,,,,,,,,,,,,,42.36178,-71.06662
The Liberty Boston-A Luxury Collection Hotel,libertyhotel.com,https://www.facebook.com/LibertyHotelBoston,,https://twitter.com/LibertyHotel,,"This iconic, newly renovated, Boston landmark is rich with history and full of ornate architecture. Centrally located and steps away from shopping, dining, and Boston Common, The Liberty Hotel sits at the foot of Beacon Hill.æ",Core,"This iconic, newly renovated, Boston landmark is rich with history and full of ornate architecture. Centrally located and steps away from shopping, dining, and Boston Common, The Liberty Hotel sits at the foot of Beacon Hill.æ",,,Private,Private,,,215 Charles St.,Boston,Massachusetts,2114,Suffolk,USA,Boston,,,,721110,#NAME?,,,,Opportunity,Personal Rights,Freedom of assembly/association,,,,,,,,,,,,,,,,,,42.36207,-71.07021
Four Seasons Hotel Boston,fourseasons.com/boston,http://www.facebook.com/FourSeasonsHotelBoston,,http://twitter.com/FSBoston,http://pinterest.com/fsboston/,"Overlooking BostonÍs historic Public Garden and within easy reach of the cityÍs premier attractions, luxurious Four Seasons Hotel Boston blends elegant simplicity with distinctive New England flair. æ",Core,"Overlooking BostonÍs historic Public Garden and within easy reach of the cityÍs premier attractions, luxurious Four Seasons Hotel Boston blends elegant simplicity with distinctive New England flair. æ",,,Private,Private,,,200 Boylston St.,Boston,Massachusetts,2116,Suffolk,USA,Boston,,,,721110,#NAME?,,,,Opportunity,Personal Rights,Freedom of assembly/association,,,,,,,,,,,,,,,,,,42.35205,-71.06832
